대분류,중분류,소분류,피해자와의관계별,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
소계,폭력범죄,협박,기타친족,94,107,80,117,283,439,423,515,638,601,748,739
소계,폭력범죄,협박,거래상대방,89,109,117,120,139,158,187,192,204,188,216,181
소계,폭력범죄,협박,이웃,179,242,190,209,352,722,620,748,868,862,912,926
소계,폭력범죄,협박,지인,188,261,242,248,415,621,625,890,1132,1167,1084,1072
소계,폭력범죄,협박,타인,829,1067,1244,1408,2572,5871,5808,5562,6342,6686,6311,6258
소계,폭력범죄,협박,기타,396,449,296,163,470,777,650,589,759,740,894,910
소계,폭력범죄,협박,미상,1672,1925,1955,2280,3335,4452,4545,5795,7138,7224,6094,6312
소계,폭력범죄,약취・유인,국가,-,-,-,-,-,-,-,1,-,-,-,-
소계,폭력범죄,약취・유인,공무원,-,-,-,-,-,-,-,-,-,-,-,-
소계,폭력범죄,약취・유인,고용자,1,2,1,4,1,-,-,1,3,1,2,1
소계,폭력범죄,약취・유인,피고용자,1,10,2,11,1,6,3,-,-,1,4,1
소계,폭력범죄,약취・유인,직장동료,-,1,-,-,2,1,4,-,1,-,-,-
소계,폭력범죄,약취・유인,친구,3,3,3,-,5,5,3,-,2,6,7,1
소계,폭력범죄,약취・유인,애인,3,4,2,5,4,9,2,7,4,3,9,7
소계,폭력범죄,약취・유인,동거친족,8,5,10,11,9,14,10,7,17,15,14,19
소계,폭력범죄,약취・유인,기타친족,17,8,21,28,16,33,27,24,29,23,43,22
소계,폭력범죄,약취・유인,거래상대방,-,1,-,2,2,3,3,3,3,-,1,1
소계,폭력범죄,약취・유인,이웃,5,4,4,1,2,3,8,3,2,1,5,4
소계,폭력범죄,약취・유인,지인,6,8,9,4,4,10,2,13,15,8,23,14
소계,폭력범죄,약취・유인,타인,153,139,85,109,111,118,127,114,129,106,102,108
소계,폭력범죄,약취・유인,기타,45,12,32,4,6,14,7,4,6,9,20,13
소계,폭력범죄,약취・유인,미상,98,73,91,73,89,89,89,83,140,123,88,130
소계,폭력범죄,폭력행위등,국가,106,321,222,243,429,297,134,151,127,145,40,122
소계,폭력범죄,폭력행위등,공무원,156,127,60,73,66,35,14,27,6,31,11,5
소계,폭력범죄,폭력행위등,고용자,573,286,258,226,261,120,98,42,64,89,47,39
소계,폭력범죄,폭력행위등,피고용자,224,301,211,194,135,50,33,47,50,170,47,51
소계,폭력범죄,폭력행위등,직장동료,1971,2083,2101,1867,1821,527,430,293,289,274,182,207
소계,폭력범죄,폭력행위등,친구,4703,5525,3526,3390,2907,2004,2099,1477,1765,1283,1217,1233
소계,폭력범죄,폭력행위등,애인,1064,1223,1175,1108,1102,109,58,43,44,43,45,32
소계,폭력범죄,폭력행위등,동거친족,1573,1881,2434,2444,3388,300,159,133,135,117,117,89
소계,폭력범죄,폭력행위등,기타친족,1135,1270,1098,1092,1076,494,410,370,332,300,260,266
소계,폭력범죄,폭력행위등,거래상대방,1030,1141,1055,1072,745,476,357,345,235,169,135,179
소계,폭력범죄,폭력행위등,이웃,2716,2902,2405,2282,1930,664,485,412,387,343,448,350
소계,폭력범죄,폭력행위등,지인,4362,5003,4470,4447,3715,1632,1427,1860,1707,1672,1278,1324
소계,폭력범죄,폭력행위등,타인,54902,58790,52189,47094,39232,24680,22524,17593,15648,13920,11430,12615
소계,폭력범죄,폭력행위등,기타,14105,11834,6077,3056,5132,2599,2195,1585,1162,1238,1494,1199
소계,폭력범죄,폭력행위등,미상,14803,13569,12577,11525,11063,6976,6224,7507,6674,5548,3775,3715
소계,폭력범죄,공갈,국가,39,14,12,22,13,41,49,18,17,23,1,5
소계,폭력범죄,공갈,공무원,10,11,5,8,2,4,3,-,4,3,1,-
소계,폭력범죄,공갈,고용자,23,30,30,25,41,24,26,28,27,15,8,14
소계,폭력범죄,공갈,피고용자,17,23,18,20,18,14,27,16,22,12,26,16
소계,폭력범죄,공갈,직장동료,16,28,28,22,26,36,27,47,21,26,32,27
소계,폭력범죄,공갈,친구,251,620,288,210,185,211,272,175,154,180,194,250
소계,폭력범죄,공갈,애인,82,100,75,79,65,118,86,87,79,72,60,77
소계,폭력범죄,공갈,동거친족,3,2,2,6,4,7,5,9,4,11,18,6
소계,폭력범죄,공갈,기타친족,7,17,23,20,12,14,27,16,23,19,23,27
소계,폭력범죄,공갈,거래상대방,80,136,84,142,90,103,109,63,77,64,80,35
소계,폭력범죄,공갈,이웃,37,46,30,58,28,26,25,15,19,8,10,13
소계,폭력범죄,공갈,지인,291,500,238,254,239,251,280,327,357,372,325,252
소계,폭력범죄,공갈,타인,1511,2320,1259,1770,1162,1495,1372,952,1028,1137,1010,964
소계,폭력범죄,공갈,기타,596,887,380,189,198,321,314,225,184,192,183,207
소계,폭력범죄,공갈,미상,823,721,717,849,847,973,951,1543,1536,1300,804,861
소계,폭력범죄,손괴,국가,85,122,72,49,71,77,70,64,60,68,56,62
소계,폭력범죄,손괴,공무원,38,57,60,61,40,40,47,52,41,29,24,23
