대분류,중분류,소분류,발생지별(1),1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
형법범,강력범,살인,여수시,8,10,3,3,8,5,11,4,4,9,4,5,9,7,8,6,7
형법범,강력범,살인,춘천시,3,6,4,7,6,9,3,6,6,5,11,4,3,9,5,3,3
형법범,강력범,살인,원주시,3,4,1,5,5,5,5,10,4,8,6,8,5,5,4,7,6
형법범,강력범,살인,평택시,-,-,-,31,13,8,3,11,7,7,5,13,6,14,14,12,3
형법범,강력범,살인,경주시,-,-,-,24,22,7,8,7,3,9,8,5,5,7,9,12,7
형법범,강력범,살인,김해시,-,-,-,2,5,3,7,13,15,11,10,10,10,12,8,16,17
형법범,강력범,살인,순천시,-,-,-,2,12,2,-,7,3,6,6,5,4,5,3,6,9
형법범,강력범,살인,군포시,-,-,-,-,-,3,2,3,6,3,3,5,3,-,11,4,3
형법범,강력범,살인,남양주시,-,-,-,4,7,8,12,9,6,6,10,10,12,5,8,8,10
형법범,강력범,살인,강릉시,-,-,-,1,9,6,4,7,9,6,4,7,8,4,3,5,3
형법범,강력범,살인,충주시,-,-,-,-,-,3,4,3,2,4,5,2,11,7,5,10,3
형법범,강력범,살인,안동시,-,-,-,1,5,7,-,4,4,7,4,1,3,6,3,3,2
형법범,강력범,살인,경산시,-,-,-,-,2,9,5,5,7,1,2,6,6,3,3,8,2
형법범,강력범,살인,아산시,-,-,-,10,3,1,8,4,5,5,5,3,5,9,8,6,5
형법범,강력범,살인,거제시,-,-,-,2,3,6,7,2,4,1,7,9,8,3,8,6,8
형법범,강력범,살인,김천시,-,-,-,3,3,3,6,-,1,2,3,2,1,5,5,1,4
형법범,강력범,살인,정읍시,-,-,-,-,6,6,3,5,4,2,1,5,5,2,3,3,4
형법범,강력범,살인,용인시,-,-,-,-,-,-,-,-,-,-,5,6,15,9,10,9,10
형법범,강력범,살인,시흥시,-,-,-,-,-,-,-,-,-,-,5,7,3,8,12,15,9
형법범,강력범,살인,파주시,-,-,-,-,-,-,-,-,-,-,3,4,2,4,11,15,8
형법범,강력범,살인,양산시,-,-,-,-,-,-,-,-,-,-,6,3,4,6,6,4,10
형법범,강력범,살인,이천시,-,-,-,-,-,-,-,-,-,-,4,5,4,6,4,5,4
형법범,강력범,살인,구리시,-,-,-,-,-,-,-,-,-,-,2,5,8,1,1,7,3
형법범,강력범,살인,서산시,-,-,-,-,-,-,-,-,-,-,6,4,2,3,4,2,-
형법범,강력범,살인,제천시,-,-,-,-,-,-,-,-,-,-,4,4,3,16,7,5,5
형법범,강력범,살인,논산시,-,-,-,-,-,-,-,-,-,-,3,9,5,7,7,16,6
형법범,강력범,살인,기타도시,68,95,75,42,95,103,64,92,88,79,79,90,80,62,95,125,100
형법범,강력범,살인,도시이외,170,134,148,119,149,133,130,137,115,117,121,109,107,144,112,128,128
형법범,강력범,살인,기타,-,-,-,-,-,6,32,38,33,41,-,-,-,-,-,-,-
